generation,candidate,score,mean_mse,std_mse,mean_energy,is_best
7,6,-0.015437533147633076,0.015437533147633076,4.4002481445204467e-05,0.09289319068193436,0
7,7,-0.015425828285515308,0.015425828285515308,8.192214409064036e-06,0.09471114724874496,0
7,8,-0.015422593802213669,0.015422593802213669,2.2599393560085446e-05,0.0694444328546524,0
7,9,-0.01542398240417242,0.01542398240417242,2.1806519725942053e-05,0.0694444328546524,0
7,10,-0.01542024314403534,0.01542024314403534,2.0024679542984813e-05,0.08693313598632812,0
7,11,-0.015427456237375736,0.015427456237375736,2.3989914552657865e-05,0.08424624055624008,0
8,0,-0.015402995981276035,0.015402995981276035,6.144512735772878e-05,0.09430526942014694,0
8,1,-0.015436830930411816,0.015436830930411816,6.253140600165352e-05,0.10348483920097351,0
8,2,-0.015427112579345703,0.015427112579345703,8.56562201079214e-06,0.0694444328546524,0
8,3,-0.015474398620426655,0.015474398620426655,0.00013343652244657278,0.10314814001321793,0
8,4,-0.015517115592956543,0.015517115592956543,3.253840623074211e-05,0.09391997009515762,0
8,5,-0.015436309389770031,0.015436309389770031,4.110543159185909e-05,0.09502498060464859,0
8,6,-0.015434489585459232,0.015434489585459232,1.371693542751018e-05,0.09129361063241959,0
8,7,-0.01541950274258852,0.01541950274258852,1.6570196748944e-05,0.0913887619972229,0
8,8,-0.01639162190258503,0.01639162190258503,0.0002581824082881212,0.11720822006464005,0
8,9,-0.01541776955127716,0.01541776955127716,2.0331124687800184e-05,0.08258321136236191,0
8,10,-0.015422980301082134,0.015422980301082134,6.996788215474226e-06,0.08524411171674728,0
8,11,-0.01545222569257021,0.01545222569257021,2.087024950014893e-05,0.09920692443847656,0
9,0,-0.015423331409692764,0.015423331409692764,2.430475979053881e-05,0.09168068319559097,0
9,1,-0.015416275709867477,0.015416275709867477,2.091573151119519e-05,0.08826983720064163,0
9,2,-0.015436604619026184,0.015436604619026184,1.627018536964897e-05,0.0694444328546524,0
