generation,candidate,score,mean_mse,std_mse,min_mse,max_mse,mean_energy,is_best
4,2,-0.06305770576000214,0.06305770576000214,5.755834354204126e-05,0.06301026791334152,0.06313870847225189,0.3154316544532776,0
4,3,-0.06303933262825012,0.06303933262825012,6.201266660355031e-05,0.06298311054706573,0.06312573701143265,0.28303003311157227,0
4,4,-0.06305928528308868,0.06305928528308868,5.756618338637054e-05,0.06301185488700867,0.06314030289649963,0.2874097526073456,0
4,5,-0.06306960433721542,0.06306960433721542,5.764465458923951e-05,0.06302197277545929,0.06315071135759354,0.24598567187786102,0
4,6,-0.06306273490190506,0.06306273490190506,6.202755321282893e-05,0.06300649046897888,0.06314915418624878,0.18738539516925812,0
4,7,-0.04143553972244263,0.04143553972244263,4.9566751840757206e-05,0.04139043390750885,0.04150456190109253,0.3188363313674927,0
5,0,-0.0012687317794188857,0.0012687317794188857,9.415802196599543e-06,0.0012569754617288709,0.0012800254626199603,0.2594663202762604,0
5,1,-0.06301697343587875,0.06301697343587875,6.199882045621052e-05,0.06296075880527496,0.06310335546731949,0.36445555090904236,0
5,2,-0.06302468478679657,0.06302468478679657,6.200920324772596e-05,0.06296846270561218,0.0631110817193985,0.42793798446655273,0
5,3,-0.06302666664123535,0.06302666664123535,6.201266660355031e-05,0.06297043710947037,0.06311306357383728,0.288038969039917,0
5,4,-0.007596058305352926,0.007596058305352926,8.733638424018864e-06,0.00758875347673893,0.007608335930854082,0.0886053815484047,0
5,5,-0.0630207285284996,0.0630207285284996,6.200002826517448e-05,0.06296451389789581,0.06310711055994034,0.3349282741546631,0
5,6,-0.0630311667919159,0.0630311667919159,6.200920324772596e-05,0.06297493726015091,0.06311755627393723,0.2715095579624176,0
5,7,-0.0630447044968605,0.0630447044968605,6.0009675507899374e-05,0.06299180537462234,0.06312862783670425,0.27390196919441223,0
6,0,-0.002590808318927884,0.002590808318927884,1.0457126336405054e-05,0.002576021244749427,0.002598381834104657,0.1702679842710495,0
6,1,-0.06303951144218445,0.06303951144218445,6.011782170389779e-05,0.06298638880252838,0.06312356144189835,0.3111747205257416,0
6,2,-0.06357572972774506,0.06357572972774506,6.086129360483028e-05,0.06352148950099945,0.06366072595119476,0.0694444328546524,0
6,3,-0.05800830200314522,0.05800830200314522,5.9345984482206404e-05,0.057954445481300354,0.05809097737073898,0.29235538840293884,0
6,4,-0.0006069887313060462,0.0006069887313060462,4.058452759636566e-06,0.0006027536583133042,0.000612461066339165,0.20094364881515503,1
6,5,-0.0002030705800279975,0.0002030705800279975,1.574097950651776e-06,0.00020155400852672756,0.00020524013962130994,0.2260601669549942,1
6,6,-0.06303165853023529,0.06303165853023529,6.201041833264753e-05,0.0629754364490509,0.06311805546283722,0.2964884340763092,0
6,7,-0.06302439421415329,0.06302439421415329,6.200574716785923e-05,0.0629681721329689,0.06311078369617462,0.2970651686191559,0
7,0,-0.004957308992743492,0.004957308992743492,2.462550128257135e-06,0.004953926429152489,0.004959717858582735,0.07858385145664215,0
7,1,-0.0029431134462356567,0.0029431134462356567,7.85010888648685e-06,0.002937301294878125,0.0029542110860347748,0.09632722288370132,0
7,2,-0.00024869301705621183,0.00024869301705621183,1.2366024293442024e-06,0.00024770377785898745,0.00025043656933121383,0.21432910859584808,0
7,3,-0.00025824879412539303,0.00025824879412539303,4.87151328343316e-06,0.00025136113981716335,0.0002618253929540515,0.19942806661128998,0
7,4,-0.0630614385008812,0.0630614385008812,5.868989319424145e-05,0.06301134079694748,0.06314379721879959,0.24506695568561554,0
7,5,-0.06306261569261551,0.06306261569261551,5.756618338637054e-05,0.06301518529653549,0.06314363330602646,0.2670276165008545,0
7,6,-0.06304020434617996,0.06304020434617996,6.200695497682318e-05,0.06298398226499557,0.0631265938282013,0.24132168292999268,0
7,7,-0.0015845344169065356,0.0015845344169065356,8.216033165808767e-06,0.0015769746387377381,0.0015959556913003325,0.1853371411561966,0
8,0,-0.004775939974933863,0.004775939974933863,4.5977867557667196e-07,0.004775289911776781,0.004776277579367161,0.07703021913766861,0
8,1,-0.05800830200314522,0.05800830200314522,5.934252476436086e-05,0.057954445481300354,0.058090969920158386,0.2631042003631592,0
8,2,-0.05827106162905693,0.05827106162905693,5.532096474780701e-05,0.0582246258854866,0.05834880843758583,0.21397769451141357,0
8,3,-0.0030005844309926033,0.0030005844309926033,6.6282473198953085e-06,0.0029912323225289583,0.0030058110132813454,0.08681003004312515,0
8,4,-0.0021074803080409765,0.0021074803080409765,8.180513759725727e-06,0.002100791549310088,0.002118999371305108,0.11046955734491348,0
8,5,-0.002137969946488738,0.002137969946488738,8.864968549460173e-06,0.002125436207279563,0.0021444885060191154,0.14045345783233643,0
8,6,-0.06306814402341843,0.06306814402341843,5.8010034990729764e-05,0.06301963329315186,0.06314969062805176,0.2430659681558609,0
8,7,-0.06305327266454697,0.06305327266454697,5.888876330573112e-05,0.06300272792577744,0.06313586235046387,0.28386572003364563,0
9,0,-0.004151562228798866,0.004151562228798866,1.3344193803277449e-06,0.0041498225182294846,0.004153065383434296,0.07718589901924133,0
9,1,-0.0022350356448441744,0.0022350356448441744,7.362606993410736e-06,0.002224701689556241,0.0022413067054003477,0.10811718553304672,0
9,2,-0.004007644485682249,0.004007644485682249,2.755575678747846e-06,0.004003882873803377,0.004010406788438559,0.07658717036247253,0
9,3,-0.05828564986586571,0.05828564986586571,5.508179674507119e-05,0.05823977664113045,0.05836310610175133,0.19351983070373535,0
9,4,-0.06304848939180374,0.06304848939180374,6.201837823027745e-05,0.06299225986003876,0.06313490122556686,0.21291685104370117,0
9,5,-0.0001881432835943997,0.0001881432835943997,1.5406192233058391e-06,0.0001862226490629837,0.0001899944618344307,0.17340223491191864,1
9,6,-0.015561426989734173,0.015561426989734173,2.1434052541735582e-05,0.015546109527349472,0.015591738745570183,0.12370941787958145,0
9,7,-0.06308649480342865,0.06308649480342865,5.757871986133978e-05,0.06303904950618744,0.0631675273180008,0.20057745277881622,0
