generation,candidate,score,mean_wake_mse,std_wake_mse,mean_drag,mean_energy,is_best
4,4,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09586472064256668,0
4,5,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.0814635381102562,0
4,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.10431089252233505,0
4,7,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09869109839200974,0
4,8,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0694444328546524,0
4,9,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.10384643822908401,0
5,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.10743897408246994,0
5,1,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09969285130500793,0
5,2,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.10789986699819565,0
5,3,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08772163838148117,0
5,4,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.10700776427984238,0
5,5,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09743078798055649,0
5,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.10692057758569717,0
5,7,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09895124286413193,0
5,8,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.10695437341928482,0
5,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.11300399154424667,0
6,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.10514263063669205,0
6,1,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09387924522161484,0
6,2,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09682048112154007,0
6,3,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.1034592017531395,0
6,4,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.10185357928276062,0
6,5,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08727157115936279,0
6,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09782081097364426,0
